казнятся неравно и	законом 	и общественным  мнением.
Туровцын, оживленный выпитым	шампанским 	и давно  ждавший 
с своею доброю	улыбкой 	влажных и  румяных 
в Твери с	Квытским 	и убил  его.
пришли, — сказала ему	Долли 	с испуганною  улыбкой, 
его в проходной	гостиной, — 	мне нужно  поговорить 
с тем же	выражением 	равнодушия, которое  придавали 
она, с отчаянною	решительностью 	глядя ему  в 
верю этому!— проговорила	Долли, 	стараясь уловить  его 
вы ошиблись!— говорила	Долли, 	дотрагиваясь руками  до 
холодно улыбнулся одними	губами, 	желая показать  ей 
доброе взволнованное лицо	Долли 	и чувствуя , что 
понимаю это, — сказала	Долли 	и опустила  голову. 
и вдруг энергическим	жестом 	подняла голову  и 
Лицо его покраснело	пятнами, 	и мутные  глаза 
Александровна теперь всею	душой 	уже жалела  его. — 
погибель кажется ей	спасением, 	то что  же 
я ненавижу всеми	силами 	души и  не 
проговорил он со	слезами 	злобы в  голосе.
